代碼,學校類別,學校名稱,學校名稱,是否倒閉,倒閉年,公/私立,公私立碼,體系別,體系碼,縣市名稱,地區,地區碼,106註冊率,107註冊率,108註冊率,109註冊率,110註冊率,111註冊率,112註冊率,113註冊率,備註,114核定招生名額,106師生比,107師生比,108師生比,109師生比,110師生比,111師生比,112師生比,113師生比,106負債率,107負債率,108負債率,109負債率,110負債率,111負債率,112負債率,106學生數,107學生數,108學生數,109學生數,110學生數,111學生數,112學生數,113學生數,106資金增減,107資金增減,108資金增減,109資金增減,110資金增減,111資金增減,112資金增減
28,,國立臺北藝術大學,國立臺北藝術大學,,,公立,0,[1]一般,0,臺北市,北部,0,95.31,93.91,97.44,97.01,97.54,97.81,97.63,97.51,,394,18.36,17.81,18.07,17.97,17.16,17.87,17.87,17.58,19.66,18.46,19.32,18.9,18.55,16.82,15.87,2863,2831,2854,2883,2799,2917,2937,2948,10706,93112,-6594,-119640,47378,-56988,23841
29,,國立臺灣藝術大學,國立臺灣藝術大學,,,公立,0,[1]一般,0,新北市,北部,0,97.8,97.87,97.23,96.19,97.84,96.19,94.93,91.56,,514,20.4,19.82,20.96,20.75,19.75,19.52,20.98,20.21,6.51,5.4,5.88,5.75,5.83,5.33,5.16,3304,3310,3270,3217,3259,3299,3357,3355,122629,120101,-185920,35898,139185,-343201,-54964
30,,國立臺東大學,國立臺東大學,,,公立,0,[1]一般,0,臺東縣,東部,3,84.04,83.98,90.39,92.68,93.59,83.86,90.21,87.58,,870,20.32,19.87,19.7,19.83,20.06,19.64,19.32,19.31,3.69,5.15,5.24,5.33,5.22,5.38,5.9,3901,3854,3881,4006,4132,4104,4095,4017,157415,71466,-20614,-26390,52832,-47406,28937
31,,國立宜蘭大學,國立宜蘭大學,,,公立,0,[1]一般,0,宜蘭縣,北部,0,92.84,92.84,92.25,95.97,97.26,95.75,98.7,95.46,,1049,21.18,21.02,20.86,20.66,21.43,21.47,21.18,21.08,11.7,12.07,12.03,12.42,12.39,12.3,11.44,4936,4876,4818,4854,4993,5024,5040,4933,94502,-136857,-50189,-370988,46414,-14755,-69254
32,,國立聯合大學,國立聯合大學,,,公立,0,[1]一般,0,苗栗縣,中部,1,86.73,89.64,89.66,89.51,93.1,92.14,96.43,89.51,,1494,22.48,22.44,22.27,22.49,23.07,23.07,23.39,23.64,5.82,6.23,6.87,7.76,7.86,8.49,8.45,6473,6372,6348,6387,6530,6553,6642,6571,104533,194100,85686,48856,-175921,-35043,47151
35,,國立臺南藝術大學,國立臺南藝術大學,,,公立,0,[1]一般,0,臺南市,南部,2,90.24,88.3,88.63,93.17,96.36,92.17,93.3,89.52,,200,14.59,14.01,14.26,14.28,14.63,15.13,15.53,15.35,3.83,3.13,4.01,3.48,3.59,4.3,5.76,1362,1346,1389,1372,1392,1430,1422,1390,87267,-36626,136348,30758,19652,-52598,29102
36,,國立臺南大學,國立臺南大學,,,公立,0,[1]一般,0,臺南市,南部,2,89.36,88.06,86.43,91.88,90.41,85.32,93.64,90.95,,927,21.06,21.02,21.09,21.58,22.45,22.58,23.24,24.65,12.38,14.22,13.73,13.72,15.14,15.24,18.11,4992,4940,4894,4963,5096,5057,5137,5152,105644,57912,8762,86771,77567,21768,122849
37,,國立臺北教育大學,國立臺北教育大學,,,公立,0,[3]師範,2,臺北市,北部,0,97.01,91.77,95.27,95.37,97.62,95.22,96.65,95.82,,768,21.48,20.75,20.34,20.44,19.96,20.87,21.34,21.15,8.42,9.5,9.36,8.93,9.98,9.51,8.82,4789,4877,4820,4864,4890,4904,4950,4949,79035,-72030,78617,-81929,212869,-265742,34583
39,,國立臺中教育大學,國立臺中教育大學,,,公立,0,[3]師範,2,臺中市,中部,1,95.51,93.68,94.71,94.69,97.25,89.99,95.51,97.12,,766,21.57,20.75,20.61,20.39,20.7,21.11,21.35,21.66,13.02,12.84,11.47,11.14,12.33,13.93,14.96,4293,4212,4164,4139,4222,4221,4334,4354,132311,-118451,105215,-19557,125895,73933,-95849
44,,國立體育大學,國立體育大學,,,公立,0,[1]一般,0,桃園市,北部,0,94.98,94.9,96.07,93.75,97,98.48,94.94,99.38,,350,21.39,22.2,22.12,22.26,22.69,24.34,24.52,25.65,5.19,6,6.02,8.63,12.07,10.68,10.46,2160,2176,2234,2271,2314,2410,2452,2462,-150011,-17596,-18600,3049,248869,-143079,-69543
48,,國立金門大學,國立金門大學,,,公立,0,[1]一般,0,金門縣,離島,4,88.19,86.32,92.86,86.5,92.29,83.45,85.06,80.49,,733,23.95,23.17,22.85,21.67,22.12,22.4,22.72,20.84,10.95,12.11,13.2,12.79,15.94,15.44,15.1,3569,3360,3404,3186,3274,3315,3272,3085,50632,166996,-19333,-149028,-52586,-52244,-40740
49,,國立臺灣體育運動大學,國立臺灣體育運動大學,,,公立,0,[1]一般,0,臺中市,中部,1,94.23,97.37,98.37,98.52,97.03,97.91,98.6,94.84,,541,25.3,23.27,23.15,21.21,20.79,21.27,21.13,21.11,5.19,4.71,4.39,4.04,3.34,3.97,6.4,2707,2630,2616,2630,2619,2638,2662,2639,2591,41062,35536,-156815,47354,65332,75841
52,,國立屏東大學,國立屏東大學,,,公立,0,[1]一般,0,屏東縣,南部,2,88.4,90.4,89.68,94.31,94.44,85.93,90.55,88.36,,1458,22.95,22.48,21.79,21.54,21.37,21.24,22.08,22.24,6.25,6.05,6.01,6.62,6.91,8.18,8.19,7756,7666,7538,7539,7587,7496,7528,7561,255916,26917,50423,-88587,144720,39800,-12155
3002,,臺北市立大學(政府不提供負債率),臺北市立大學,,,公立,0,[1]一般,0,臺北市,北部,0,93.67,94.94,96.49,97.37,97.07,96.06,96.09,95.92,,1204,20.23,20.17,20.12,21.25,21.47,21.31,21.16,21.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6697,6738,6719,6864,6913,6840,6813,6813,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,公立技專,國立臺灣科技大學,國立臺灣科技大學,,,公立,0,[2]技職,1,臺北市,北部,0,96.67,97,97.75,98.85,100,100,100,100,,,22.34,20.79,19.8,18.6,20.2,20.75,19.62,19.39,22.59,24.7,25.86,28.85,28.94,27.96,26.29,10222,10336,10476,10359,10443,10812,10811,11012,357517,275359,-142120,63904,308727,-1978,-131338
23,,國立雲林科技大學,國立雲林科技大學,,,公立,0,[2]技職,1,雲林縣,中部,1,88.45,88.86,90.28,90.74,92.41,95.92,94.39,93.54,,,24.57,21.84,21.26,20.91,21.21,21.91,22.49,23.7,14.96,16.41,17.72,18.61,18.07,19.04,19.24,8943,8932,8844,8822,8864,8985,9290,9458,142276,147786,166298,-9781,-151288,-27891,-186418
24,,國立屏東科技大學,國立屏東科技大學,,,公立,0,[2]技職,1,屏東縣,南部,2,84.16,87.07,88.52,89.76,90.59,90.17,87.14,83.89,,,23.09,22.66,22.67,21.26,22.59,21.3,20.64,19.99,18.75,20.15,20.19,20.03,21.24,21.39,22.75,9191,9247,9115,9036,8990,9031,8937,8695,131967,114383,8970,-274688,76964,-115180,286017
25,,國立臺北科技大學,國立臺北科技大學,,,公立,0,[2]技職,1,臺北市,北部,0,95.87,96.48,96.38,99.62,100,100,100,100,,,20.37,20.5,21.37,22.55,22.38,22.29,21.98,22.32,13.87,15.27,16.24,15.7,15.66,15.44,15.33,9572,9581,9935,10187,10198,10458,10705,10799,-3812,167586,297585,201361,-550382,3380,-187884
33,,國立虎尾科技大學,國立虎尾科技大學,,,公立,0,[2]技職,1,雲林縣,中部,1,87.17,88.95,91.69,89.63,95.44,93.54,94.24,94.38,,,25.24,24.84,24.69,24.83,25.35,25.91,25.05,26.11,11.05,10.76,13.24,13.46,14.95,16.8,16.89,8304,8270,8354,8443,8608,8829,8912,9075,140243,-46054,-39583,-10179,69499,42134,-182900
42,,國立澎湖科技大學,國立澎湖科技大學,,,公立,0,[2]技職,1,澎湖縣,離島,4,87.24,84.48,84.23,87.28,78.06,76.67,71.34,65.53,,,21.59,22.48,22.56,21.31,21.39,20.67,17.84,16.21,2.6,2.55,3.33,3.09,2.72,2.88,2.97,2655,2685,2705,2673,2670,2552,2338,2065,31367,88741,6743,-36114,83558,187394,8129
43,,國立勤益科技大學,國立勤益科技大學,,,公立,0,[2]技職,1,臺中市,中部,1,89.66,92.71,94.18,93.64,96.71,91.95,93.41,87.02,,,25.95,25.51,23.91,23.46,24.26,22.75,23.7,23.65,8.24,9.69,10.27,9.61,12.07,12.75,12.49,7292,7322,7316,7342,7618,7735,7988,8229,-15857,230713,-192906,24136,74943,-229829,118616
46,,國立臺北護理健康大學,國立臺北護理健康大學,,,公立,0,[2]技職,1,臺北市,北部,0,96.84,96.23,96.1,96.65,95.72,94.78,95.8,92.29,,,23.95,23.03,22.11,21.36,20.85,20.68,20.68,19.03,5.29,8.44,6.87,10.18,11.92,8.35,7.89,4168,4330,4311,4421,4421,4384,4385,4377,119624,69601,-22846,110552,-241054,183825,153171
47,,國立高雄餐旅大學,國立高雄餐旅大學,,,公立,0,[2]技職,1,高雄市,南部,2,92.73,94.61,90.33,87.83,89.09,86.32,81.01,78.78,,,24.85,22.93,22.51,21.9,21.68,21.81,21.34,20.45,12,11.59,6.77,6.26,6.65,6.4,6.75,3449,3447,3396,3343,3306,3195,3057,2941,150594,14481,-77138,-15070,37051,36106,20672
50,,國立臺中科技大學,國立臺中科技大學,,,公立,0,[2]技職,1,臺中市,中部,1,96.22,96.34,95.62,97.01,95.36,94.23,94.57,90.55,,,26.69,25.93,25.1,25.31,26.06,25.39,24.49,25.48,3.47,3.31,2.96,3.3,3.27,3.07,3.09,7227,7301,7189,7156,7200,7298,7391,7548,370816,-35116,-21273,-260940,125386,-297728,508966
51,,國立臺北商業大學,國立臺北商業大學,,,公立,0,[2]技職,1,臺北市,北部,0,96.92,97.9,97.93,100,97.34,96,92.28,90.54,,,24.92,24.68,24.72,23.5,23.37,22.49,21.24,21.53,2.8,4.24,4.58,3.6,3.68,3.06,3.63,3272,3383,3486,3442,3415,3350,3268,3268,512720,103816,35007,-137804,-854,-29087,35287
53,,國立高雄科技大學,國立高雄科技大學,,,公立,0,[2]技職,1,高雄市,南部,2,NaN,93.41,90.97,89.54,91.76,90.62,89.08,88.56,,,NaN,24.89,24.51,24.73,25.46,26.2,25.58,25.19,NaN,13.94,15.38,16.36,19.24,20.87,20.39,NaN,20863,20647,20630,21043,21115,21097,20907,NaN,-93011,698005,570846,548996,402819,-876936
144,,國立臺灣戲曲學院,國立臺灣戲曲學院,,,公立,0,[2]技職,1,臺北市,北部,0,98.61,97.99,98.64,97.92,91.78,90.97,84.72,73.47,,,16.32,16.23,18,17.06,15.4,16.65,13.92,11.51,9.1,7.34,5.36,4.45,4.67,4.72,4.02,555,568,576,546,539,516,501,449,48286,62694,79556,-82408,103838,167,82501
221,,國立臺南護理專科學校,國立臺南護理專科學校,,,公立,0,[2]技職,1,臺南市,南部,2,96.16,96.63,92.41,96.01,90.89,98.34,94.8,94.58,,,22.28,21.65,21.27,20.83,20.68,19.42,19.65,19.31,1.22,1.28,2.35,1.96,1.74,2.91,2.75,97,110,117,115,99,77,67,43,38240,29485,35487,24965,-16711,-10441,-3864
222,,國立臺東專科學校,國立臺東專科學校,,,公立,0,[2]技職,1,臺東縣,東部,3,65.68,65.6,66.55,71.97,60.79,47.29,51.3,36.54,,,18.22,16.44,14.97,13.67,13.11,10.8,10.15,9.07,2.37,3.09,2.9,2.85,2.99,2.61,2.16,579,581,589,595,573,438,412,358,-69394,5572,36414,-111561,-57292,7016,30501
1001,私立大學,東海大學,東海大學,,,私立,1,[1]一般,0,臺中市,中部,1,89.06,90.18,92.03,92.98,94.08,81.29,94.08,93.17,,3006,28.4,27.13,26.02,25.84,26.53,25.57,27.61,27.69,7.74,8.07,7.34,6.89,7.64,9.02,12.21,15136,14756,14491,14498,14700,14215,14579,14563,145273,113019,-653964,-289276,55713,-201138,347334
1002,,輔仁大學,輔仁大學,,,私立,1,[1]一般,0,新北市,北部,0,91.19,91.13,92.19,91.78,94.43,87.3,89.15,94.76,,4080,29.83,27.69,27.61,27.49,27.56,28.29,28.43,28.83,28.35,32.08,33.3,34.16,33.12,32.33,33.31,20734,20266,19965,19959,20147,20339,20415,20496,-1140228,-4273,82058,109250,514297,-27191,636316
1003,,東吳大學,東吳大學,,,私立,1,[1]一般,0,臺北市,北部,0,93.45,92.74,95.17,94.23,93.76,87.2,91.31,94.94,,2759,31.35,30.36,29.96,30.63,30.85,31.07,32.12,32.63,7.81,8.16,6.97,8.11,7.86,7.36,11.29,13576,13419,13184,13172,13295,13234,13329,13247,137656,-183954,-167092,-76205,79932,134391,477936
1004,,中原大學,中原大學,,,私立,1,[1]一般,0,桃園市,北部,0,93.42,93.5,94.96,96.82,99.15,97.36,97.58,97.4,,3006,32.25,30.89,31.18,31.46,31.31,31.09,30.85,30.07,7.24,6.76,5.54,5.82,5.48,5.32,8.58,15480,15320,15374,15510,15623,15702,15732,15576,51733,-3080,-257965,-93253,151173,143490,676205
1005,,淡江大學,淡江大學學校財團法人淡江大學,,,私立,1,[1]一般,0,新北市,北部,0,83.94,84.69,89.42,93.19,94.29,79.27,87.6,93.83,,4145,30.57,30.75,31.09,30.75,30.55,28.87,31,31.37,17.77,17.16,16.47,16.6,16.29,15.92,18.4,23204,22694,22357,22205,22665,21656,21236,21051,57486,79088,90050,275425,394194,2061,594864
1006,,中國文化大學,中國文化大學,,,私立,1,[1]一般,0,臺北市,北部,0,85.86,86.28,89.26,87.78,85.83,58.59,66.12,78.73,,3200,31.95,31.59,31.17,31.96,32.16,30.35,28.96,28.31,3.61,3.38,3.03,4.46,3.28,3.95,6.25,23484,22969,22565,22501,22290,20210,17987,16192,43624,-29632,74521,138216,46705,-14720,309691
